Subject,Sentence,Label
biology," The number of protons determines an element ’s atomic number and is used to distinguish one element from another .","  B-Definition  I-Definition  I-Definition  I-Definition  O  B-Term  I-Term  I-Term  I-Term  I-Term  O  O  B-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  I-Secondary-Definition  O"
biology," Isotopes are different forms of an element that have the same number of protons but a different number of neutrons .","  I-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," Elements also have specific chemical reactivity , the ability to combine and to chemically bond with each other .","  O  O  O  O  B-Term  I-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," This is known as the octet rule , which states , with the exception of the innermost shell , that atoms are more stable energetically when they have eight electrons in their valence shell , the outermost electron shell .","  O  O  O  O  B-Term  I-Term  I-Term  O  O  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 68 . Chemical reactions occur when two or more atoms bond together to form molecules or when bonded atoms are broken apart .","  O  O  B-Term  I-Term  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 71 . Even though all of the reactants and products of this reaction are molecules ( each atom remains bonded to at least one other atom ) , in this reaction only hydrogen peroxide and water are representatives of compounds : they contain atoms of more than one type of element .","  O  O  O  O  O  O  O  O  O  O  O  O  O  O  B-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  O  O  O  O  O  O  O  O  O  O  O  O  B-Term  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 74 . In reversible reactions , reactants are turned into products , but when the concentration of product goes beyond a certain threshold ( characteristic of the particular reaction ) , some of these products will be converted back into reactants ; at this point , the designations of products and reactants are reversed .","  O  O  O  B-Term  I-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," This back and forth continues until a certain relative balance between reactants and products occurs — a state called equilibrium .","  O  O  O  O  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  O  B-Referential-Definition  I-Referential-Definition  O  B-Term  O"
biology," 77 . Negative ions are formed by gaining electrons and are called anions .","  O  O  B-Definition  I-Definition  O  O  O  O  O  O  O  O  B-Term  O"
biology," 80 . Certain salts are referred to in physiology as electrolytes ( including sodium , potassium , and calcium ) , ions necessary for nerve impulse conduction , muscle contractions and water balance .","  O  O  O  O  O  O  O  O  O  O  B-Term  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," Like hydrogen bonds , van der Waals interactions are weak attractions or interactions between molecules .","  O  O  O  O  B-Term  I-Term  I-Term  I-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," Specific heat is defined as the amount of heat one gram of a substance must absorb or lose to change its temperature by one degree Celsius .","  B-Term  I-Term  O  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," Even when below its boiling point , water ’s individual molecules acquire enough energy from other water molecules such that some surface water molecules can escape and vaporize : this process is known as evaporation .","  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  O  O  O  O  O  B-Term  O"
biology," In cohesion , water molecules are attracted to each other ( because of hydrogen bonding ) , keeping the molecules together at the liquid - gas ( water - air ) interface , although there is no more room in the glass .","  O  B-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 98 . This is because the water molecules are attracted to the charged glass walls of the capillary more than they are to each other and therefore adhere to it .","  O  O  O  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," The macromolecules are a subset of organic molecules ( any carbon - containing liquid , solid , or gas ) that are especially important for life .","  B-Term  I-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 107 . So far , the hydrocarbons we have discussed have been aliphatic hydrocarbons , which consist of linear chains of carbon atoms .","  O  O  O  O  O  O  O  O  O  O  O  O  B-Term  I-Term  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," Another type of hydrocarbon , aromatic hydrocarbons , consists of closed rings of carbon atoms .","  O  O  O  O  O  B-Term  I-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," Molecules with other elements in their carbon backbone are substituted hydrocarbons .","  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  B-Term  I-Term  O"
biology," 116 . Most macromolecules are made from single subunits , or building blocks , called monomers .","  O  O  O  O  O  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  O  B-Term  O"
biology," The monomers combine with each other using covalent bonds to form larger molecules known as polymers .","  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  O  B-Term  O"
biology," 122 . Disaccharides ( di- = “ two ” ) form when two monosaccharides undergo a dehydration reaction ( also known as a condensation reaction or dehydration synthesis ) .","  O  O  B-Term  O  O  O  O  O  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 131 . When the hydrocarbon chain contains a double bond , the fatty acid is said to be unsaturated .","  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  O  O  O  B-Term  O"
biology," Because of the hydrophobic nature of waxes , they prevent water from sticking on the surface ( [ link ] ) .","  O  O  O  B-Term  O  O  O  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  O  O  O  O  O"
biology," 137 . Proteins are one of the most abundant organic molecules in living systems and have the most diverse range of functions of all macromolecules .","  O  O  B-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," Changes in temperature , pH , and exposure to chemicals may lead to permanent changes in the shape of the protein , leading to loss of function , known as denaturation .","  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  O  O  B-Term  O"
biology," 143 . The unique sequence of amino acids in a polypeptide chain is its primary structure .","  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  O  B-Term  I-Term  O"
biology," 146 . The unique three - dimensional structure of a polypeptide is its tertiary structure ( [ link ] ) .","  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  O  B-Term  I-Term  O  O  O  O  O  O"
biology," They carry the genetic blueprint of a cell and carry instructions for the functioning of the cell .","  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," Cytosine , thymine , and uracil are classified as pyrimidines which have a single carbon - nitrogen ring as their primary structure ( [ link ] ) .","  O  O  O  O  O  O  O  O  O  B-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  O  O  O  O  O"
biology," Visible light passes and is bent through the lens system to enable the user to see the specimen .","  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 167 . Like prokaryotes , eukaryotic cells have a plasma membrane ( [ link ] ) , a phospholipid bilayer with embedded proteins that separates the internal contents of the cell from its surrounding environment .","  O  O  O  O  O  O  O  O  B-Term  I-Term  I-Term  O  O  O  O  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," A phospholipid is a lipid molecule with two fatty acid chains and a phosphate - containing group .","  B-Term  I-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," The nucleus ( plural = nuclei ) houses the cell ’s DNA and directs the synthesis of ribosomes and proteins .","  B-Term  I-Term  O  B-Qualifier  I-Qualifier  I-Qualifier  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," Chromosomes are structures within the nucleus that are made up of DNA , the hereditary material .","  B-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 176 . Ribosomes are the cellular structures responsible for protein synthesis .","  O  O  B-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," When viewed through an electron microscope , ribosomes appear either as clusters ( polyribosomes ) or single , tiny dots that float freely in the cytoplasm .","  O  O  O  O  O  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  B-Term  O  O  O  O  O  O  O  O  O  O  O  O  O"
biology," The central vacuole plays a key role in regulating the cell ’s concentration of water in changing environmental conditions .","  B-Term  I-Term  I-Term  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," They are short , hair - like structures that are used to move entire cells ( such as paramecia ) or substances along the outer surface of the cell ( for example , the cilia of cells lining the Fallopian tubes that move the ovum toward the uterus , or cilia lining the cells of the respiratory tract that trap particulate matter and move it toward your nostrils .","  B-Referential-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 194 . A tight junction is a watertight seal between two adjacent animal cells ( [ link ] ) .","  O  O  B-Term  I-Term  I-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  O  O  O  O  O"
biology," 200 . The hydrophilic or “ water - loving ” areas of these molecules ( which look like a collection of balls in an artist ’s rendition of the model ) ( [ link ] ) are in contact with the aqueous fluid both inside and outside the cell .","  O  O  O  B-Term  O  B-Alias-Term  I-Alias-Term  I-Alias-Term  I-Alias-Term  I-Alias-Term  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," They interact with other non - polar molecules in chemical reactions , but generally do not interact with polar molecules .","  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 203 . Peripheral proteins are found on the exterior and interior surfaces of membranes , attached either to integral proteins or to phospholipids .","  O  O  B-Term  I-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 206 . In passive transport , substances move from an area of higher concentration to an area of lower concentration .","  O  O  O  B-Term  I-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," A physical space in which there is a range of concentrations of a single substance is said to have a concentration gradient .","  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  O  O  O  B-Term  I-Term  I-Term  O"
biology," In facilitated transport , also called facilitated diffusion , materials diffuse across the plasma membrane with the help of membrane proteins .","  O  B-Term  I-Term  O  O  O  B-Alias-Term  I-Alias-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," Aquaporins are channel proteins that allow water to pass through the membrane at a very high rate .","  B-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," In a hypotonic situation , the extracellular fluid has lower osmolarity than the fluid inside the cell , and water enters the cell .","  O  O  B-Term  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 221 . However , the cell membrane detaches from the wall and constricts the cytoplasm .","  O  O  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," Active transport mechanisms , collectively called pumps , work against electrochemical gradients .","  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  B-Term  O  B-Definition-frag  I-Definition-frag  I-Definition-frag  I-Definition-frag  O"
biology," A uniporter carries one specific ion or molecule .","  B-Term  I-Term  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," Catabolic pathways involve the degradation ( or breakdown ) of complex molecules into simpler ones .","  B-Term  I-Term  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," Scientists refer to the measure of randomness or disorder within a system as entropy .","  O  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  B-Term  O"
biology," The type of potential energy that exists within chemical bonds , and is released when those bonds are broken , is called chemical energy ( [ link ] ) .","  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  O  O  B-Term  I-Term  O  O  O  O  O  O"
biology," Reactions that have a negative ∆G and consequently release free energy are called exergonic reactions .","  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  O  B-Term  I-Term  O"
biology," Think : exergonic means energy is exiting the system .","  O  O  B-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," Both bonds that link the phosphates are equally high - energy bonds ( phosphoanhydride bonds ) that , when broken , release sufficient energy to power a variety of cellular reactions and processes .","  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  B-Term  I-Term  O  B-Definition-frag  I-Definition-frag  I-Definition-frag  I-Definition-frag  I-Definition-frag  I-Definition-frag  I-Definition-frag  I-Definition-frag  I-Definition-frag  I-Definition-frag  I-Definition-frag  I-Definition-frag  I-Definition-frag  I-Definition-frag  I-Definition-frag  I-Definition-frag  I-Definition-frag  O"
biology," High temperatures will eventually cause enzymes , like other biological molecules , to denature , a process that changes the natural properties of a substance .","  O  O  O  O  O  O  O  O  O  O  O  O  O  B-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 263 . Some inhibitor molecules bind to enzymes in a location where their binding induces a conformational change that reduces the affinity of the enzyme for its substrate .","  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 266 . An oxidation reaction strips an electron from an atom in a compound , and the addition of this electron to another compound is a reduction reaction .","  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," 269 . A phosphate group is removed from an intermediate reactant in the pathway , and the free energy of the reaction is used to add the third phosphate to an available ADP molecule , producing ATP ( [ link ] ) .","  O  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O  O  O  O  O  O"
biology," Glycolysis is the first step in the breakdown of glucose to extract energy for cellular metabolism .","  B-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
biology," An isomerase is an enzyme that catalyzes the conversion of a molecule into one of its isomers .","  B-Term  I-Term  O  B-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  I-Definition  O"
